Date,From,To,Distance,Length,Width,Height,Weight,Rate
13-01-2021,pune,khargaon,523,40,8,7,20,55000
13-01-2021,pune,khargaon,523,40,8,7,20,55000
14-01-2021,pune,karnal,1521,40,8,8,20,95000
14-01-2021,pune,karnal,1521,40,8,8,20,95000
17-01-2021,jajuri,jhajhar,1364,50,8,7,20,144000
27-02-2021,Shikrapur,Gandhi nagar,670,40,8,7,22,49500
26-03-2021,Satara,Rewari,1433,40,9.6,9.6,15,153000
22-05-2021,pune,Bikanair,1309,40,8,8.3,20,96000
25-05-2021,pune,Delhi,1380,40,8,7,20,100000
21-05-2021,pune,Gandhi nagar,678,40,8,7,15,49000
25-05-2021,pune,indore,611,40,8,7,15,46000
25-05-2021,pune,indore,611,40,8,7,15,46000
29-05-2021,pune,"Udham Singh Nagar
","1,624",40,8,7,20,120000
31-05-2021,Solapur,panipat,1603,40,8,7,20,98000
31-05-2021,Solapur,panipat,1603,40,8,7,20,98000
02-06-2021,pune,varadara,967,40,8,7,15,38000
02-06-2021,goa,rishikesh,2129,40,8,10,20,173000
02-06-2021,goa,rishikesh,2129,40,8,10,20,173000
07-07-2021,shirwal,sanand,721,40,8,7,22,47000
23-09-2021,pune,ludhiana,1707,40,9,9,15,118000
14-11-2021,ahmednagar,saragpur,712,40,10.5,8.5,15,124000
14-11-2021,ahmednagar,saragpur,712,40,10.5,8.5,15,124000
23-11-2021,nashik,jammu,1802,40,8,8,15,145000
28-11-2021,ahmednagar,gudhawa,1134,40,8,8,15,105000
11-01-2022,pune,atul,322,40,8,8,15,28000
11-01-2022,pune,atul,322,40,8,8,15,28000
30-04-2022,pune,amritsar,1825,40,8.5,12,25,185000
22-06-2022,pune,faridabad,1356,40,9.5,8,15,104000
29-07-2022,pune,panipat,1490,40,11,12,28,147000
28-04-2022,pune,pachpadra,1046,40,8,8,20,70000
29-11-2022,kolhapur,pachpadra,1271,40,8,8,20,85000
07-12-2022,pune,Rewari,1338,40,10,7,15,107000
28-01-2023,kolhapur,amritsar,2041,40,8,11.5,20,145000
08-05-2023,aurangabad,saharanpur,1367,40,10,8,20,118000
18-05-2023,jejuri,pachpadra,1096,40,8.5,8.8,15,80000
22-05-2023,jejuri,hazira,482,40,8,8,20,36000
22-05-2023,jejuri,hazira,482,40,8,8,20,36000
26-05-2023,kirloskarwadi,pachpadra,1235,40,8,9,15,87000
26-05-2023,kirloskarwadi,pachpadra,1235,40,8,9,15,97000
08-07-2023,ahamdnagar,chanhighar,1552,40,8.6,9.6,15,132000
26-07-2023,ranjangaon,bhruch,449,40,8,8,20,42300
26-07-2023,ranjangaon,bhruch,449,40,8,8,20,40500
26-07-2023,ranjangaon,bhruch,449,40,8,8,20,42440
08-08-2023,pune,bechraji,767,40,8,8,26,62000
29-10-2023,pune,mundra,995,40,8,8,25,78000
01-11-2023,nashik,gadhidham,741,72,10.6,7,26,165000
11-11-2023,pune,fatehgarh,1389,40,8,8,23,130000
16-12-2023,Sanaswadi,bhilwara,932,40,8.5,9,15,90000
25-12-2023,Paithan,kanpur,1209,40,8.6,9.6,20,1180000
01-01-2024,indapur,jodhpur,1206,40,8,8,15,100000
08-01-2024,pune,sanand,674,40,8,8,26,54600
29-02-2024,pune,noida,1381,40,8.6,8.6,15,118000
03-03-2024,pune,bhawnagar,556,40,8.6,8.6,25,80000
06-03-2024,chakan,daman,298,40,8.5,8,15,30000
24-03-2024,jejuri,hazira,482,50,8.6,8.6,20,67000
28-03-2024,pune,dariba,969,40,8.6,9.6,20,105000
04-04-2024,pune,dahej,510,40,8,8,15,40000
05-04-2024,pune,halol,585,45,8.6,8,15,60000
08-04-2024,pune,bechraji,767,40,8.6,8,30,68000
08-04-2024,pune,bechraji,767,40,8.6,8,30,68000
08-04-2024,pune,bechraji,767,40,8.6,8,30,68000
08-04-2024,pune,bechraji,767,40,8.6,8,30,68000
09-05-2024,pune,barmer,1034,40,9,8,15,70000
16-05-2024,indapur,jodhpur,1206,40,11.6,12.6,15,126000
18-05-2024,nashik,mundra,796,40,13,8,30,105000
19-05-2024,pune,sanand,674,40,8.8,12.6,15,70000
19-05-2024,pune,dahej,510,40,8,8,23,46000
21-05-2024,pune,baroda,546,40,10,10,20,63000
21-05-2024,pune,baroda,546,40,8,8,20,63000
25-05-2024,pune,Delhi,1380,40,12,8,20,130000
25-06-2024,shirwal,somnath,854,41,8.5,8,20,94000
08-07-2024,pune,mundra,995,40,8,8,20,72000
23-03-2024,khirloshkarwadi,bhopal,1113,40,8,8,20,76000
01-09-2024,pune,hazira,432,40,8,8,32,62000
08-09-2024,pune,baroda,546,40,8,8,33,63000
11-09-2024,pune,karjan,513,40,8,8,35,61250
11-09-2024,pune,karjan,513,40,8,8,35,61250
14-09-2024,ichhalkaranji,ujjan,996,40,8,8,20,73000
14-09-2002,ichhalkaranji,ujjan,996,40,8,8,20,73000
21-09-2024,pune,Rajsamand,967,40,8.6,10.6,20,100000
24-09-2024,pune,sanand,674,40,8,10.6,23,66000
05-10-2024,pune,jagadiya,478,40,8.6,8,20,44000
16-10-2024,yewat,hazira,477,40,8.6,8.6,30,51000
16-10-2024,yewat,hazira,477,40,8.6,8.6,30,51000
22-10-2024,yewat,hazira,477,40,8.6,8,32,55000
22-10-2024,nashik,jodhpur,899,40,8.6,8,15,90000
30-11-2024,pune,khawada,1033,45,10,12,40,190000
30-11-2024,pune,khawada,1033,45,10,12,40,190000
14-12-2024,kolhapur,rudki,1768,40,8.6,8,15,112000
15-12-2024,pune,devadh,409,40,8.5,8,15,60000
15-12-2024,indapur,dungarpur,932,40,8.6,8,15,75000
17-12-2024,pune,Mahajana UP,1452,40,8.6,8.6,30,77000
18-12-2024,pune,junagadh,907,40,8,10.5,15,90000
22-12-2024,pune,ludhiana,1707,43,8,8,15,127000
10-01-2025,pune,bechraji,767,40,8.6,8,38,95000
10-01-2025,pune,bechraji,767,40,8.6,8,38,95000
14-01-2025,pune,mundra,995,40,11,11,15,108000
15-01-2025,shirwal,surat,463,40,8,8,30,60000
18-01-2025,kirloskarwadi,ahmedabad,844,40,8,8,15,65000
25-01-2025,pune,sanand,674,43,88,8,33,92800
25-01-2025,pune,bhuruch,466,40,13.6,11.6,15,80000
08-02-2025,nashik,jejpur,1496,40,8.6,8,15,220000
11-02-2025,nashik,jodhpur,899,40,8.6,8,15,90000
